Pulse number,Conductance,Moving averaged conductance,,
663,9.83E-05,9.28E-05,,
664,8.75E-05,9.27E-05,,
665,9.06E-05,9.24E-05,,
666,9.08E-05,9.27E-05,,
667,9.14E-05,9.30E-05,,
668,9.32E-05,9.30E-05,,
669,9.67E-05,9.36E-05,,
670,9.54E-05,9.27E-05,,
671,9.08E-05,9.25E-05,,
672,9.01E-05,9.22E-05,,
673,9.54E-05,9.24E-05,,
674,8.92E-05,9.24E-05,,
675,9.07E-05,9.26E-05,,
676,9.30E-05,9.26E-05,,
677,9.19E-05,9.29E-05,,
678,9.58E-05,9.25E-05,,
679,9.23E-05,9.17E-05,,
680,8.79E-05,9.27E-05,,
681,1.01E-04,9.34E-05,,
682,9.68E-05,9.37E-05,,
683,9.87E-05,9.37E-05,,
684,8.90E-05,9.38E-05,,
685,9.20E-05,9.44E-05,,
686,9.85E-05,9.47E-05,,
687,9.54E-05,9.41E-05,,
688,9.02E-05,9.42E-05,,
689,9.31E-05,9.48E-05,,
690,9.36E-05,9.42E-05,,
691,9.43E-05,9.35E-05,,
692,9.01E-05,9.34E-05,,
693,9.76E-05,9.45E-05,,
694,1.00E-04,9.46E-05,,
695,9.26E-05,9.40E-05,,
696,9.24E-05,9.41E-05,,
697,9.65E-05,9.49E-05,,
698,9.87E-05,9.44E-05,,
699,8.81E-05,9.39E-05,,
700,8.86E-05,9.36E-05,,
701,9.12E-05,9.36E-05,,
702,8.98E-05,9.30E-05,,
703,9.13E-05,9.17E-05,,
704,8.73E-05,9.13E-05,,
705,8.93E-05,9.14E-05,,
706,9.34E-05,9.08E-05,,
707,9.01E-05,9.03E-05,,
708,9.41E-05,9.15E-05,,
709,9.97E-05,9.17E-05,,
710,9.05E-05,9.13E-05,,
711,8.75E-05,9.15E-05,,
712,9.18E-05,9.12E-05,,
713,8.85E-05,9.18E-05,,
714,9.29E-05,9.25E-05,,
715,9.65E-05,9.18E-05,,
716,8.67E-05,9.26E-05,,
717,9.82E-05,9.21E-05,,
718,8.92E-05,9.12E-05,,
719,8.99E-05,9.08E-05,,
720,8.73E-05,9.13E-05,,
721,9.18E-05,9.19E-05,,
722,9.75E-05,9.25E-05,,
723,9.52E-05,9.22E-05,,
724,8.97E-05,9.16E-05,,
725,9.01E-05,9.24E-05,,
726,9.56E-05,9.16E-05,,
727,8.92E-05,9.13E-05,,
728,8.64E-05,9.13E-05,,
729,8.98E-05,9.21E-05,,
730,9.57E-05,9.18E-05,,
731,8.84E-05,9.11E-05,,
732,9.12E-05,9.11E-05,,
733,9.51E-05,9.14E-05,,
734,9.25E-05,9.17E-05,,
735,9.32E-05,9.12E-05,,
736,9.07E-05,9.18E-05,,
737,9.52E-05,9.19E-05,,
738,8.69E-05,9.25E-05,,
739,9.60E-05,9.16E-05,,
740,8.70E-05,9.22E-05,,
741,9.43E-05,9.23E-05,,
742,9.19E-05,9.18E-05,,
743,9.01E-05,9.13E-05,,
