Epoch,# of updates,Normalized Amain,Normalized WA,Normalized ΔWH,Normalized WH
2,254,-0.21367,0.48633,0.00973,-0.57702
2,255,-0.21367,0.48633,0.00973,-0.56729
2,256,-0.15299,0.54701,0.01094,-0.55635
2,257,-0.37737,0.32263,0.00645,-0.5499
2,258,-0.06578,0.63422,0.01268,-0.53721
2,259,-0.06578,0.63422,-0.01268,-0.52453
2,260,-0.06578,0.63422,-0.01268,-0.53721
2,261,-0.06578,0.63422,-0.01268,-0.5499
2,262,-0.06578,0.63422,-0.01268,-0.56258
2,263,0.08623,0.78623,-0.01572,-0.57831
2,264,0.08623,0.78623,-0.01572,-0.59403
2,265,0.17532,0.87532,-0.01751,-0.61154
2,266,0.17532,0.87532,-0.01751,-0.62904
2,267,0.06073,0.76073,-0.01521,-0.64426
2,268,0.10769,0.80769,-0.01615,-0.66041
2,269,0.10769,0.80769,-0.01615,-0.67656
2,270,0.23496,0.93496,-1.87E-02,-0.69526
2,271,0.23496,0.93496,-1.87E-02,-0.71396
2,272,0.34407,1.04407,-0.02088,-0.73484
2,273,0.37687,1.07687,-0.02154,-0.75638
2,274,0.54194,1.24194,-0.02484,-0.78122
2,275,0.3916,1.0916,-0.02183,-0.80305
2,276,0.3916,1.0916,-0.02183,-0.82488
2,277,0.3916,1.0916,-0.02183,-0.84672
2,278,0.32202,1.02202,-0.02044,-0.86716
2,279,0.44778,1.14778,0.02296,-0.89011
2,280,0.44778,1.14778,0.02296,-0.86716
2,281,0.24129,0.94129,0.01883,-0.84833
2,282,0.38203,1.08203,0.02164,-0.82669
2,283,0.18492,0.88492,0.0177,-0.80899
2,284,0.18492,0.88492,0.0177,-0.79129
2,285,0.33611,1.03611,0.02072,-0.77057
2,286,0.33611,1.03611,2.07E-02,-0.74985
2,287,0.3693,1.0693,0.02139,-0.72846
2,288,0.00656,0.70656,0.01413,-0.71433
2,289,0.00656,0.70656,0.01413,-0.7002
2,290,-0.04376,0.65624,0.01312,-0.68708
2,291,-0.09158,0.60842,0.01217,-0.67491
2,292,-0.09158,0.60842,0.01217,-0.66274
2,293,-0.09158,0.60842,0.01217,-0.65057
2,294,-0.09158,0.60842,0.01217,-0.6384
2,295,-0.36561,0.33439,0.00669,-0.63171
2,296,-0.36561,0.33439,0.00669,-0.62503
2,297,-0.36561,0.33439,0.00669,-0.61834
2,298,-0.36561,0.33439,0.00669,-0.61165
2,299,-0.36561,0.33439,-0.00669,-0.60496
3,300,-0.1123,0.5877,-0.01175,-0.61672
3,301,-0.00385,0.69615,-0.01392,-0.63064
3,302,-0.00385,0.69615,-0.01392,-0.64456
3,303,0.26208,0.96208,-1.92E-02,-0.66381
3,304,0.26208,0.96208,-1.92E-02,-0.68305
3,305,0.33402,1.03402,-0.02068,-0.70373
3,306,0.51045,1.21045,-0.02421,-0.72794
3,307,0.29502,0.99502,-0.0199,-0.74784
3,308,0.29502,0.99502,-0.0199,-0.76774
3,309,0.00206,0.70206,-0.01404,-0.78178
3,310,0.00206,0.70206,-0.01404,-0.79582
3,311,0.00206,0.70206,-0.01404,-0.80986
3,312,0.26642,0.96642,-0.01933,-0.82919
3,313,0.43237,1.13237,-0.02265,-0.85184
3,314,0.51333,1.21333,-0.02427,-0.8761
3,315,0.51333,1.21333,-0.02427,-0.90037
3,316,0.70861,1.40861,-0.02817,-0.92854
3,317,0.81635,1.51635,-0.03033,-0.95887
3,318,0.63926,1.33926,-0.02679,-0.98565
3,319,0.6573,1.3573,0.02715,0
3,320,0.57443,1.27443,0.02549,0.02549
3,321,0.28238,0.98238,1.97E-02,0.04514
3,322,0.28238,0.98238,1.97E-02,0.06478
3,323,0.31826,1.01826,2.04E-02,0.08515
3,324,-0.12544,0.57456,1.15E-02,0.09664
3,325,-0.12544,0.57456,1.15E-02,0.10813
3,326,-0.12544,0.57456,0.01149,0.11962
3,327,-0.16916,0.53084,1.06E-02,0.13024
3,328,-0.16916,0.53084,1.06E-02,0.14086
3,329,-0.11071,0.58929,0.01179,0.15264
3,330,-0.00241,0.69759,0.01395,0.16659
3,331,0.09532,0.79532,0.01591,0.1825
3,332,0.14056,0.84056,0.01681,0.19931
3,333,0.14056,0.84056,0.01681,0.21612
3,334,0.14056,0.84056,0.01681,0.23293
3,335,0.14056,0.84056,0.01681,0.24975
3,336,0.14056,0.84056,0.01681,0.26656
3,337,0.18353,0.88353,0.01767,0.28423
3,338,0.06813,0.76813,0.01536,0.29959
3,339,0.06813,0.76813,-0.01536,0.31495
3,340,-0.08421,0.61579,-0.01232,0.30264
3,341,0.0215,0.7215,-0.01443,0.28821
3,342,0.07043,0.77043,-0.01541,0.2728
3,343,0.01691,0.71691,-0.01434,0.25846
3,344,0.01691,0.71691,-0.01434,0.24412
3,345,0.01691,0.71691,-0.01434,0.22978
3,346,0.11276,0.81276,-0.01626,0.21353
3,347,0.00426,0.70426,-0.01409,0.19944
3,348,0.10135,0.80135,-0.01603,0.18342
3,349,0.26804,0.96804,-0.01936,0.16406
3,350,0.33941,1.03941,-0.02079,0.14327
3,351,0.40382,1.10382,-0.02208,0.12119
3,352,0.62426,1.32426,-2.65E-02,0.09471
3,353,0.19398,0.89398,-0.01788,0.07683
3,354,0.19398,0.89398,-0.01788,0.05895
3,355,0.23428,0.93428,-0.01869,0.04026
3,356,0.23428,0.93428,-0.01869,0.02158
3,357,0.4075,1.1075,-0.02215,-5.75E-04
3,358,0.14642,0.84642,-0.01693,-0.0175
3,359,0.14642,0.84642,0.01693,-0.03443
3,360,0.14642,0.84642,0.01693,-0.0175
3,361,0.0891,0.7891,0.01578,-0.00172
3,362,0.0891,0.7891,0.01578,0.01406
3,363,-0.06624,0.63376,0.01268,0.02674
3,364,-0.01292,0.68708,0.01374,0.04048
3,365,-0.01292,0.68708,0.01374,0.05422
3,366,-0.01292,0.68708,0.01374,0.06796
3,367,-0.01292,0.68708,0.01374,0.0817
3,368,-0.10916,0.59084,0.01182,0.09352
3,369,-0.15371,0.54629,0.01093,0.10444
3,370,-0.23622,0.46378,0.00928,0.11372
3,371,-0.23622,0.46378,0.00928,0.123
3,372,-0.27441,0.42559,0.00851,0.13151
3,373,-0.409,0.291,0.00582,0.13733
3,374,-0.56556,0.13444,2.69E-03,0.14002
3,375,-0.34227,0.35773,0.00715,0.14717
3,376,-0.37516,0.32484,0.0065,0.15367
3,377,-0.3064,0.3936,0.00787,0.16154
3,378,-0.3064,0.3936,0.00787,0.16941
3,379,-0.34108,0.35892,-0.00718,0.17659
3,380,-0.34108,0.35892,-0.00718,0.16941
3,381,-0.14981,0.55019,-0.011,0.15841
3,382,-0.27107,0.42893,-0.00858,0.14983
3,383,-0.14714,0.55286,-0.01106,0.13877
3,384,-0.18978,0.51022,-0.0102,0.12857
3,385,-0.34007,0.35993,-0.0072,0.12137
3,386,-0.34007,0.35993,-0.0072,0.11417
3,387,-0.34007,0.35993,-0.0072,0.10697
3,388,-0.03692,0.66308,-0.01326,0.09371
3,389,-0.03692,0.66308,-0.01326,0.08045
3,390,0.01492,0.71492,-0.0143,0.06615
3,391,0.15542,0.85542,-0.01711,0.04904
3,392,0.15542,0.85542,-0.01711,0.03193
3,393,0.23777,0.93777,-0.01876,0.01318
3,394,0.23777,0.93777,-0.01876,-0.00558
3,395,0.37916,1.07916,-0.02158,-0.02716
3,396,0.37916,1.07916,-0.02158,-0.04874
3,397,0.43969,1.13969,-0.02279,-0.07154
3,398,0.4677,1.1677,-0.02335,-0.09489
3,399,0.4677,1.1677,0.02335,-0.11824
4,400,0.13568,0.83568,0.01671,-0.10153
