Epoch,# of updates,Normalized WA,Effective WA,Pulse direction
3,338,0.49602,0.49602,1
3,339,0.02404,-0.02404,1
3,340,0.11173,-0.11173,1
3,341,0.19298,-0.19298,1
3,342,2.63E-04,-2.63E-04,1
3,343,0.04336,-0.04336,1
3,344,0.03296,-0.03296,1
3,345,-0.15183,0.15183,1
3,346,-0.01064,0.01064,1
3,347,0.00522,-0.00522,1
3,348,-0.02798,0.02798,1
3,349,0.07854,-0.07854,1
3,350,0.08201,-0.08201,1
3,351,-0.11913,0.11913,1
3,352,-0.10377,0.10377,1
3,353,-0.09585,0.09585,1
3,354,0.02107,-0.02107,1
3,355,0.13006,-0.13006,1
3,356,0.03395,-0.03395,1
3,357,-0.01757,0.01757,1
3,358,0.18159,-0.18159,1
3,359,0.11353,0.11353,1
3,360,-0.04104,-0.04104,1
3,361,-0.06532,-0.06532,1
3,362,-0.07176,-0.07176,1
3,363,-0.88375,-0.88375,-1
3,364,-0.88325,-0.88325,-1
3,365,-0.82826,-0.82826,-1
3,366,-0.90654,-0.90654,-1
3,367,-0.90406,-0.90406,-1
3,368,-0.89019,-0.89019,-1
3,369,-0.85452,-0.85452,-1
3,370,-0.88573,-0.88573,-1
3,371,-0.81538,-0.81538,-1
3,372,-0.90208,-0.90208,-1
3,373,0.03377,0.03377,1
3,374,0.02931,0.02931,1
3,375,-0.06284,-0.06284,1
3,376,-0.154,-0.154,1
3,377,-0.12576,-0.12576,1
3,378,-0.21048,-0.21048,1
3,379,0.28463,-0.28463,1
3,380,0.39759,-0.39759,1
3,381,-0.69481,0.69481,-1
3,382,-0.67004,0.67004,-1
3,383,-0.6096,0.6096,-1
3,384,-0.68837,0.68837,-1
3,385,-0.60613,0.60613,-1
3,386,-0.64427,0.64427,-1
3,387,-0.59572,0.59572,-1
3,388,-0.67202,0.67202,-1
3,389,-0.58235,0.58235,-1
3,390,-0.61009,0.61009,-1
3,391,-0.69481,0.69481,-1
3,392,-0.59424,0.59424,-1
3,393,-0.66013,0.66013,-1
3,394,-0.69233,0.69233,-1
3,395,-0.69233,0.69233,-1
3,396,-0.66013,0.66013,-1
3,397,-0.60018,0.60018,-1
3,398,-0.68886,0.68886,-1
3,399,-0.09483,-0.09483,-1
